log permeability [m^2],GWR_precp_rate [-],Permeability [m^2],Max Global Sal [mol],SLR offset,f_vert
-12.37355271,0.450835438,4.23E-13,1318125.23,0m0,0.02543863
-12.37355271,0.450835438,4.23E-13,1719408.37,0m5,0.030127963
-12.37355271,0.450835438,4.23E-13,2897033.45,1m0,0.166176114
-12.37355271,0.450835438,4.23E-13,5624898.26,1m5,0.203162706
-11.26481721,0.413378412,5.43E-12,140146673,0m0,0.080766941
-11.26481721,0.413378412,5.43E-12,122519759,0m5,0.147144749
-11.26481721,0.413378412,5.43E-12,103463714,1m0,0.231437292
-11.26481721,0.413378412,5.43E-12,76936724.8,1m5,0.356405899
-11.69275234,0.119279605,2.03E-12,201743352,0m0,0.139521058
-11.69275234,0.119279605,2.03E-12,209992518,0m5,0.246104695
-11.69275234,0.119279605,2.03E-12,220680520,1m0,0.371462495
-11.69275234,0.119279605,2.03E-12,223434787,1m5,0.523834421
-12.25363188,0.490146209,5.58E-13,1750038.49,0m0,0.044366788
-12.25363188,0.490146209,5.58E-13,1999774.44,0m5,0.073690836
-12.25363188,0.490146209,5.58E-13,3109572.41,1m0,0.194825226
-12.25363188,0.490146209,5.58E-13,6595171.51,1m5,0.350099531
-11.58441019,0.487231494,2.60E-12,15468130,0m0,0.046754381
-11.58441019,0.487231494,2.60E-12,12723124.2,0m5,0.084658755
-11.58441019,0.487231494,2.60E-12,11177544.9,1m0,0.151453977
-11.58441019,0.487231494,2.60E-12,10128522.7,1m5,0.257581386
-10.80220914,0.417076187,1.58E-11,332842083,0m0,0.444216104
-10.80220914,0.417076187,1.58E-11,390218497,0m5,0.719435809
-10.80220914,0.417076187,1.58E-11,494908700,1m0,0.902968047
-10.80220914,0.417076187,1.58E-11,857294395,1m5,0.979853512
-11.41588785,0.60377204,3.84E-12,16313713.9,0m0,0.038455626
-11.41588785,0.60377204,3.84E-12,12326836.3,0m5,0.062507846
-11.41588785,0.60377204,3.84E-12,11101231.3,1m0,0.141396362
-11.41588785,0.60377204,3.84E-12,9291432.63,1m5,0.205986699
-10.31023338,0.257148079,4.90E-11,1906658110,0m0,0.627410343
-10.31023338,0.257148079,4.90E-11,2246410250,0m5,0.91547519
-10.31023338,0.257148079,4.90E-11,3242113500,1m0,0.995324629
-10.31023338,0.257148079,4.90E-11,5821268470,1m5,1
-11.07677813,0.304533169,8.38E-12,192065368,0m0,0.270794843
-11.07677813,0.304533169,8.38E-12,216094369,0m5,0.501610651
-11.07677813,0.304533169,8.38E-12,254055590,1m0,0.726240689
-11.07677813,0.304533169,8.38E-12,364725060,1m5,0.892499212
-9.920136742,0.534621101,1.20E-10,807568796,0m0,0.962760907
-9.920136742,0.534621101,1.20E-10,987655974,0m5,0.998977676
-9.920136742,0.534621101,1.20E-10,1578594350,1m0,0.999627635
-9.920136742,0.534621101,1.20E-10,3075482930,1m5,1
-12.3104107,0.268366582,4.89E-13,1067896.54,0m0,0.001065305
-12.3104107,0.268366582,4.89E-13,1187980.67,0m5,0.001668267
-12.3104107,0.268366582,4.89E-13,1818191.05,1m0,0.043735624
-12.3104107,0.268366582,4.89E-13,3137175.83,1m5,0.002530674
-11.81797481,0.481425926,1.52E-12,5941429.71,0m0,0.021620807
-11.81797481,0.481425926,1.52E-12,4988594.46,0m5,0.042715632
-11.81797481,0.481425926,1.52E-12,5256198.41,1m0,0.115248621
-11.81797481,0.481425926,1.52E-12,6202828.61,1m5,0.195526657
-12.36044769,0.09372605,4.36E-13,27508337.7,0m0,0.142125471
-12.36044769,0.09372605,4.36E-13,27087999.5,0m5,0.238400918
-12.36044769,0.09372605,4.36E-13,33272438.6,1m0,0.354049667
-12.36044769,0.09372605,4.36E-13,40727702.1,1m5,0.51895494
-12.69128426,0.105689186,2.04E-13,7392015.68,0m0,0.181574612
-12.69128426,0.105689186,2.04E-13,8414648.01,0m5,0.270851403
-12.69128426,0.105689186,2.04E-13,12559062.7,1m0,0.375197869
-12.69128426,0.105689186,2.04E-13,19010261,1m5,0.507025216
-12.92988607,0.191241349,1.18E-13,4108555.24,0m0,0.048352798
-12.92988607,0.191241349,1.18E-13,5640256.08,0m5,0.049613483
-12.92988607,0.191241349,1.18E-13,9582496.77,1m0,0.154157145
-12.92988607,0.191241349,1.18E-13,15587381.7,1m5,0.188005864
-12.65285135,0.148015564,2.22E-13,4030534.69,0m0,0.027743638
-12.65285135,0.148015564,2.22E-13,4623697.14,0m5,0.044369972
-12.65285135,0.148015564,2.22E-13,6762369.52,1m0,0.115137607
-12.65285135,0.148015564,2.22E-13,10808691,1m5,0.160567188
-11.85077243,0.390444361,1.41E-12,10026819.7,0m0,0.048408288
-11.85077243,0.390444361,1.41E-12,8823800.28,0m5,0.089236542
-11.85077243,0.390444361,1.41E-12,9131669.3,1m0,0.166224262
-11.85077243,0.390444361,1.41E-12,10316390.7,1m5,0.278097345
-11.62232945,0.472334037,2.39E-12,21078404.4,0m0,0.051750112
-11.62232945,0.472334037,2.39E-12,17743708.1,0m5,0.091905832
-11.62232945,0.472334037,2.39E-12,15967048.6,1m0,0.164350745
-11.62232945,0.472334037,2.39E-12,14752806,1m5,0.266839995
-12.1735269,0.035548197,6.71E-13,148556231,0m0,0.086201408
-12.1735269,0.035548197,6.71E-13,121009527,0m5,0.155282887
-12.1735269,0.035548197,6.71E-13,93324175.2,1m0,0.247021705
-12.1735269,0.035548197,6.71E-13,64946642.8,1m5,0.373197772
-12.76690631,0.577072491,1.71E-13,2876132.79,0m0,0
-12.76690631,0.577072491,1.71E-13,4172570.29,0m5,0
-12.76690631,0.577072491,1.71E-13,7060994.4,1m0,0.022688628
-12.76690631,0.577072491,1.71E-13,12275221.5,1m5,0.022742517
-11.28417268,0.444254419,5.20E-12,116086223,0m0,0.069495664
-11.28417268,0.444254419,5.20E-12,97239131.8,0m5,0.125045771
-11.28417268,0.444254419,5.20E-12,77840385,1m0,0.203519003
-11.28417268,0.444254419,5.20E-12,54091999.2,1m5,0.314933655
-12.27762545,0.559062532,5.28E-13,2350186.39,0m0,0.100375068
-12.27762545,0.559062532,5.28E-13,3028593.9,0m5,0.141951793
-12.27762545,0.559062532,5.28E-13,5089503.53,1m0,0.310860571
-12.27762545,0.559062532,5.28E-13,10088774.5,1m5,0.433660021
-12.34231842,0.200783717,4.55E-13,7160557.84,0m0,0.050635765
-12.34231842,0.200783717,4.55E-13,6893872.24,0m5,0.087082705
-12.34231842,0.200783717,4.55E-13,8605357.86,1m0,0.1482194
-12.34231842,0.200783717,4.55E-13,12257173.8,1m5,0.275365271
-11.58029118,0.396071149,2.63E-12,33063127.8,0m0,0.071661699
-11.58029118,0.396071149,2.63E-12,30239679.1,0m5,0.136034621
-11.58029118,0.396071149,2.63E-12,28730820.9,1m0,0.206033021
-11.58029118,0.396071149,2.63E-12,26182559.8,1m5,0.337334859
-11.69632266,0.176067502,2.01E-12,106887614,0m0,0.089640956
-11.69632266,0.176067502,2.01E-12,100607529,0m5,0.168982116
-11.69632266,0.176067502,2.01E-12,93862246,1m0,0.254773501
-11.69632266,0.176067502,2.01E-12,80804022.5,1m5,0.391018322
-13.80615592,0.372064423,1.56E-14,15298892.5,0m0,0
-13.80615592,0.372064423,1.56E-14,18480201.9,0m5,0
-13.80615592,0.372064423,1.56E-14,23786782.3,1m0,0
-13.80615592,0.372064423,1.56E-14,26954680.7,1m5,0
-11.44137352,0.330369326,3.62E-12,50261795.8,0m0,0.0557348
-11.44137352,0.330369326,3.62E-12,38255613.9,0m5,0.102557539
-11.44137352,0.330369326,3.62E-12,29107210,1m0,0.179234576
-11.44137352,0.330369326,3.62E-12,20855035.8,1m5,0.291125319
-12.13897475,0.463800944,7.26E-13,2462513.22,0m0,0.028654985
-12.13897475,0.463800944,7.26E-13,2578374.19,0m5,0.042372285
-12.13897475,0.463800944,7.26E-13,3626247,1m0,0.134497285
-12.13897475,0.463800944,7.26E-13,6376733.34,1m5,0.223335801
-12.0832688,0.415801482,8.26E-13,4428597.38,0m0,0.101371763
-12.0832688,0.415801482,8.26E-13,4684311.46,0m5,0.174185161
-12.0832688,0.415801482,8.26E-13,6435016.95,1m0,0.312434052
-12.0832688,0.415801482,8.26E-13,10375275.1,1m5,0.486694503
-12.90881618,0.109760767,1.23E-13,5743756.09,0m0,0.407489303
-12.90881618,0.109760767,1.23E-13,7387414.71,0m5,0.458768943
-12.90881618,0.109760767,1.23E-13,13596216.5,1m0,0.551688096
-12.90881618,0.109760767,1.23E-13,21907227.4,1m5,0.686202983
-12.3892107,0.181779808,4.08E-13,7110340.27,0m0,0.022578604
-12.3892107,0.181779808,4.08E-13,6616407.37,0m5,0.035275879
-12.3892107,0.181779808,4.08E-13,8081151.06,1m0,0.079759133
-12.3892107,0.181779808,4.08E-13,11342225.2,1m5,0.159211328
-14.21986962,0.158189616,6.03E-15,23281071.1,0m0,0
-14.21986962,0.158189616,6.03E-15,25875146.7,0m5,0
-14.21986962,0.158189616,6.03E-15,37476213.4,1m0,0
-14.21986962,0.158189616,6.03E-15,34742598.2,1m5,0
-11.56869051,0.224035847,2.70E-12,78823875.4,0m0,0.067759932
-11.56869051,0.224035847,2.70E-12,63768545.5,0m5,0.121737085
-11.56869051,0.224035847,2.70E-12,49711450.8,1m0,0.198375911
-11.56869051,0.224035847,2.70E-12,34943982.2,1m5,0.316262269
-12.02742633,0.324592995,9.39E-13,15008027,0m0,0.158424148
-12.02742633,0.324592995,9.39E-13,15205965.9,0m5,0.248449895
-12.02742633,0.324592995,9.39E-13,20551463.9,1m0,0.365872804
-12.02742633,0.324592995,9.39E-13,28555421.3,1m5,0.557221359
-12.12028092,0.328323267,7.58E-13,4858946.42,0m0,0.016323964
-12.12028092,0.328323267,7.58E-13,4319273.73,0m5,0.032843556
-12.12028092,0.328323267,7.58E-13,4849040.33,1m0,0.085828615
-12.12028092,0.328323267,7.58E-13,6923699.18,1m5,0.183814733
-12.82354128,0.270484631,1.50E-13,2848956.89,0m0,0
-12.82354128,0.270484631,1.50E-13,3984942.77,0m5,0
-12.82354128,0.270484631,1.50E-13,6406217.53,1m0,0.00658627
-12.82354128,0.270484631,1.50E-13,10886126.9,1m5,0.002312291
-11.85334887,0.215832343,1.40E-12,25757145.2,0m0,0.046729936
-11.85334887,0.215832343,1.40E-12,20377813.3,0m5,0.083542942
-11.85334887,0.215832343,1.40E-12,16666257.3,1m0,0.146570818
-11.85334887,0.215832343,1.40E-12,13987519.7,1m5,0.227129989
-11.34904104,0.385845926,4.48E-12,39544395.6,0m0,0.052907034
-11.34904104,0.385845926,4.48E-12,29304394.6,0m5,0.098625881
-11.34904104,0.385845926,4.48E-12,22780468.4,1m0,0.176333936
-11.34904104,0.385845926,4.48E-12,16526674.2,1m5,0.269977519
-13.19852637,0.368827784,6.33E-14,4993620.14,0m0,0
-13.19852637,0.368827784,6.33E-14,7002440.42,0m5,0
-13.19852637,0.368827784,6.33E-14,11529346.6,1m0,0.005644561
-13.19852637,0.368827784,6.33E-14,16874649.1,1m5,0.005416793
-10.37962542,0.425125857,4.17E-11,825534770,0m0,0.716726419
-10.37962542,0.425125857,4.17E-11,990498709,0m5,0.94152773
-10.37962542,0.425125857,4.17E-11,1641252780,1m0,0.99687244
-10.37962542,0.425125857,4.17E-11,2814742020,1m5,1
-11.71221043,0.130853484,1.94E-12,93546140.5,0m0,0.107398125
-11.71221043,0.130853484,1.94E-12,93564893.9,0m5,0.202356802
-11.71221043,0.130853484,1.94E-12,89591799.7,1m0,0.299653932
-11.71221043,0.130853484,1.94E-12,83148584.9,1m5,0.45350379
-10.69534241,0.410352632,2.02E-11,351273234,0m0,0.652013166
-10.69534241,0.410352632,2.02E-11,394050690,0m5,0.88555574
-10.69534241,0.410352632,2.02E-11,500840992,1m0,0.972963382
-10.69534241,0.410352632,2.02E-11,1034401720,1m5,0.998926054
-13.37693129,0.392981519,4.20E-14,5825804.85,0m0,0
-13.37693129,0.392981519,4.20E-14,7963705.24,0m5,0
-13.37693129,0.392981519,4.20E-14,11753592,1m0,0
-13.37693129,0.392981519,4.20E-14,16300143.9,1m5,0
-11.80856234,0.313505163,1.55E-12,14389365.2,0m0,0.037773089
-11.80856234,0.313505163,1.55E-12,11377444.3,0m5,0.062851117
-11.80856234,0.313505163,1.55E-12,9902878.55,1m0,0.128000946
-11.80856234,0.313505163,1.55E-12,9359357.94,1m5,0.211399612
-10.12309024,0.54435318,7.53E-11,1457827710,0m0,0.710626775
-10.12309024,0.54435318,7.53E-11,1738415210,0m5,0.947430161
-10.12309024,0.54435318,7.53E-11,2663002060,1m0,0.997605288
-10.12309024,0.54435318,7.53E-11,4694176020,1m5,1
-12.00432762,0.29447137,9.90E-13,4321616.2,0m0,0.016938918
-12.00432762,0.29447137,9.90E-13,3471231.64,0m5,0.031882578
-12.00432762,0.29447137,9.90E-13,3730535.58,1m0,0.099994897
-12.00432762,0.29447137,9.90E-13,4486899.95,1m5,0.162340228
-12.31536358,0.644534065,4.84E-13,1248805.11,0m0,0.003800769
-12.31536358,0.644534065,4.84E-13,1702141.8,0m5,0.002713486
-12.31536358,0.644534065,4.84E-13,2922663.49,1m0,0.060486914
-12.31536358,0.644534065,4.84E-13,5766066.43,1m5,0.068640975
-11.66801787,0.408858251,2.15E-12,16302782.6,0m0,0.032552328
-11.66801787,0.408858251,2.15E-12,12047757.2,0m5,0.054612935
-11.66801787,0.408858251,2.15E-12,10166249.4,1m0,0.120763652
-11.66801787,0.408858251,2.15E-12,8624912.51,1m5,0.19991471
-11.89297164,0.061512571,1.28E-12,147344101,0m0,0.116709518
-11.89297164,0.061512571,1.28E-12,132505602,0m5,0.202643248
-11.89297164,0.061512571,1.28E-12,107081618,1m0,0.287899806
-11.89297164,0.061512571,1.28E-12,80689813.2,1m5,0.423247883
-11.51507313,0.553430565,3.05E-12,19026196.3,0m0,0.048404369
-11.51507313,0.553430565,3.05E-12,15683313.8,0m5,0.085614225
-11.51507313,0.553430565,3.05E-12,13578004.6,1m0,0.152812634
-11.51507313,0.553430565,3.05E-12,11633416.9,1m5,0.23090515
-11.23144551,0.548706191,5.87E-12,31186854.7,0m0,0.045766577
-11.23144551,0.548706191,5.87E-12,21517465.8,0m5,0.08076919
-11.23144551,0.548706191,5.87E-12,17871545.4,1m0,0.157624232
-11.23144551,0.548706191,5.87E-12,13410821.5,1m5,0.242604296
-11.95672178,0.423252174,1.10E-12,4407153.76,0m0,0.026117924
-11.95672178,0.423252174,1.10E-12,3810163.07,0m5,0.051634848
-11.95672178,0.423252174,1.10E-12,4151678.54,1m0,0.126412506
-11.95672178,0.423252174,1.10E-12,5480686.92,1m5,0.228060952
-10.81985238,0.374920921,1.51E-11,412002147,0m0,0.475789144
-10.81985238,0.374920921,1.51E-11,501421393,0m5,0.746738764
-10.81985238,0.374920921,1.51E-11,651702178,1m0,0.916189942
-10.81985238,0.374920921,1.51E-11,1198749790,1m5,0.986290346
-13.05301133,0.250977302,8.85E-14,3696369.6,0m0,0.004698263
-13.05301133,0.250977302,8.85E-14,5225430.15,0m5,0.000806363
-13.05301133,0.250977302,8.85E-14,9080940.72,1m0,0.053566099
-13.05301133,0.250977302,8.85E-14,14500727.4,1m5,0.04157407
-12.14881557,0.383694584,7.10E-13,2865076.1,0m0,0.014506959
-12.14881557,0.383694584,7.10E-13,2823555.98,0m5,0.029676121
-12.14881557,0.383694584,7.10E-13,3609370.78,1m0,0.073073778
-12.14881557,0.383694584,7.10E-13,5874135.04,1m5,0.178425064
-11.92316947,0.210241279,1.19E-12,19898899.9,0m0,0.083338374
-11.92316947,0.210241279,1.19E-12,18856563.8,0m5,0.155204095
-11.92316947,0.210241279,1.19E-12,20106756,1m0,0.248631823
-11.92316947,0.210241279,1.19E-12,20289799.7,1m5,0.392577076
-12.79620033,0.397833967,1.60E-13,2381008.6,0m0,0
-12.79620033,0.397833967,1.60E-13,3417538.58,0m5,0.000101083
-12.79620033,0.397833967,1.60E-13,5659614.47,1m0,0.018887059
-12.79620033,0.397833967,1.60E-13,9891802.77,1m5,0.014520059
-11.51783254,0.333881285,3.04E-12,11640697.1,0m0,0.037876047
-11.51783254,0.333881285,3.04E-12,7942872.17,0m5,0.068023503
-11.51783254,0.333881285,3.04E-12,7406002.81,1m0,0.146112211
-11.51783254,0.333881285,3.04E-12,6046462.19,1m5,0.231654898
-12.4069722,0.298137456,3.92E-13,1220156.69,0m0,0.013971981
-12.4069722,0.298137456,3.92E-13,1409360.07,0m5,0.027620928
-12.4069722,0.298137456,3.92E-13,2159371.77,1m0,0.1256339
-12.4069722,0.298137456,3.92E-13,3969623.95,1m5,0.170956782
-12.96332822,0.211603632,1.09E-13,3633942.58,0m0,0
-12.96332822,0.211603632,1.09E-13,5051874.66,0m5,0
-12.96332822,0.211603632,1.09E-13,7962119.31,1m0,0.01047194
-12.96332822,0.211603632,1.09E-13,12856066.1,1m5,0.006783394
-12.44201243,0.359413209,3.61E-13,1696269.91,0m0,0.006992046
-12.44201243,0.359413209,3.61E-13,2133430.59,0m5,0.008822828
-12.44201243,0.359413209,3.61E-13,3443528.11,1m0,0.073887136
-12.44201243,0.359413209,3.61E-13,6457156.36,1m5,0.073474424
-10.6053651,0.135175491,2.48E-11,3056275750,0m0,0.550229342
-10.6053651,0.135175491,2.48E-11,3650419130,0m5,0.860052782
-10.6053651,0.135175491,2.48E-11,5248305560,1m0,0.984765033
-10.6053651,0.135175491,2.48E-11,9303713140,1m5,0.999911569
-11.75787944,0.167239455,1.75E-12,77813577.7,0m0,0.100085438
-11.75787944,0.167239455,1.75E-12,76024205.4,0m5,0.184627174
-11.75787944,0.167239455,1.75E-12,76382136.2,1m0,0.27020539
-11.75787944,0.167239455,1.75E-12,74321455.9,1m5,0.423362062
-10.84829798,0.192325341,1.42E-11,819930231,0m0,0.568224548
-10.84829798,0.192325341,1.42E-11,1027171040,0m5,0.842664381
-10.84829798,0.192325341,1.42E-11,1600616870,1m0,0.971495609
-10.84829798,0.192325341,1.42E-11,2651424570,1m5,0.999120586
-12.39709544,0.313946986,4.01E-13,1962713.93,0m0,0.063958163
-12.39709544,0.313946986,4.01E-13,2339367.2,0m5,0.112104556
-12.39709544,0.313946986,4.01E-13,3648860.99,1m0,0.25001923
-12.39709544,0.313946986,4.01E-13,6701335.07,1m5,0.383071235
-12.55682006,0.431156474,2.77E-13,1705284.2,0m0,0.011300143
-12.55682006,0.431156474,2.77E-13,2390659.78,0m5,0.010201918
-12.55682006,0.431156474,2.77E-13,4088762.72,1m0,0.12277749
-12.55682006,0.431156474,2.77E-13,7799173.28,1m5,0.13712419
-12.77275357,0.347076027,1.69E-13,2378613.35,0m0,0
